"question_id","participant_id","answer","time","correct","type","size","layout","domain_question"
24,1,"Anxiety to attend -> gym dislike -> sports avoidance                                                                                                                                                                                                                                                        ","33.784","yes                           ","matrix                        ","medium                        ","inDD                          ","gym                           "
4,1,"Doing sports -> participation in team sports -> team work behaviour                                                                                                                                                                                                                                         ","27.351","yes                           ","node-linked                   ","small                         ","organic                       ","gym                           "
27,1,"Pass exams                                                                                                                                                                                                                                                                                                  ","11.527","yes                           ","node-linked                   ","large                         ","organic                       ","student                       "
5,1,"Successful Debates                                                                                                                                                                                                                                                                                          ","16.295","yes                           ","node-linked                   ","small                         ","parallel                      ","student                       "
7,1,"Behavioural issues                                                                                                                                                                                                                                                                                          ","13.655","yes                           ","matrix                        ","small                         ","alpha                         ","drinking                      "
17,1,"Sports avoidance                                                                                                                                                                                                                                                                                            ","12.871","yes                           ","node-linked                   ","medium                        ","parallel                      ","gym                           "
22,1,"Drinking parents->underaged drinking -> gambling                                                                                                                                                                                                                                                            ","45.327","yes                           ","matrix                        ","medium                        ","outDD                         ","drinking                      "
26,1,"Feeling happy -> being fit -> emotional stability                                                                                                                                                                                                                                                           ","32.223","yes                           ","node-linked                   ","large                         ","hier                          ","gym                           "
19,1,"Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","11.823","yes                           ","matrix                        ","medium                        ","alpha                         ","student                       "
18,1,"Join sports societies -> more friends -> better social life                                                                                                                                                                                                                                                 ","22.727","yes                           ","node-linked                   ","medium                        ","parallel                      ","gym                           "
34,1,"Gym buddy -> social gym experience -> pleasant gym                                                                                                                                                                                                                                                          ","45.104","yes                           ","matrix                        ","large                         ","outDD                         ","student                       "
15,1,"Low salary                                                                                                                                                                                                                                                                                                  ","15.336","yes                           ","node-linked                   ","medium                        ","organic                       ","drinking                      "
11,1,"Pass exams                                                                                                                                                                                                                                                                                                  ","11.222","yes                           ","matrix                        ","small                         ","inDD                          ","student                       "
32,1,"Gym overuse -> taking supplements -> Evident results                                                                                                                                                                                                                                                        ","46.35","yes                           ","matrix                        ","large                         ","alpha                         ","gym                           "
10,1,"Join sports societies -> more friends -> better social life                                                                                                                                                                                                                                                 ","27.295","yes                           ","matrix                        ","small                         ","outDD                         ","gym                           "
12,1,"Good argumentation -> critical thinking -> successful debates                                                                                                                                                                                                                                               ","23.715","yes                           ","matrix                        ","small                         ","inDD                          ","student                       "
25,1,"Obesity                                                                                                                                                                                                                                                                                                     ","25.355","yes                           ","node-linked                   ","large                         ","hier                          ","gym                           "
28,1,"Missed deadlines -> Poor performance -> Fail exams                                                                                                                                                                                                                                                          ","21.79","yes                           ","node-linked                   ","large                         ","organic                       ","student                       "
33,1,"Gym buddy                                                                                                                                                                                                                                                                                                   ","10.224","yes                           ","matrix                        ","large                         ","outDD                         ","student                       "
9,1,"Better social life                                                                                                                                                                                                                                                                                          ","8.944","yes                           ","matrix                        ","small                         ","outDD                         ","gym                           "
23,1,"Health issues                                                                                                                                                                                                                                                                                               ","11.847","yes                           ","matrix                        ","medium                        ","inDD                          ","gym                           "
36,1,"Emotional problems -> binge eating -> health issues                                                                                                                                                                                                                                                         ","47.614","yes                           ","matrix                        ","large                         ","inDD                          ","drinking                      "
30,1,"Emotional problems -> binge eating -> health issues                                                                                                                                                                                                                                                         ","44.935","yes                           ","node-linked                   ","large                         ","parallel                      ","drinking                      "
14,1,"Self-motivation -> independent work -> pass exams                                                                                                                                                                                                                                                           ","45.031","yes                           ","node-linked                   ","medium                        ","hier                          ","student                       "
29,1,"Early age drinking                                                                                                                                                                                                                                                                                          ","51.406","yes                           ","node-linked                   ","large                         ","parallel                      ","drinking                      "
8,1,"Drinking friends -> behavioural issues -> low grades                                                                                                                                                                                                                                                        ","36.62","yes                           ","matrix                        ","small                         ","alpha                         ","drinking                      "
31,1,"Pleasant gym time                                                                                                                                                                                                                                                                                           ","17.876","yes                           ","matrix                        ","large                         ","alpha                         ","gym                           "
1,1,"Depression                                                                                                                                                                                                                                                                                                  ","8.831","yes                           ","node-linked                   ","small                         ","hier                          ","drinking                      "
16,1,"Negative parenting -> childhood issues -> drinking parents                                                                                                                                                                                                                                                  ","62.654","yes                           ","node-linked                   ","medium                        ","organic                       ","drinking                      "
3,1,"More friends                                                                                                                                                                                                                                                                                                ","12.136","yes                           ","node-linked                   ","small                         ","organic                       ","gym                           "
2,1,"Childhood issues -> drinking parents -> underaged drinking                                                                                                                                                                                                                                                  ","28.07","yes                           ","node-linked                   ","small                         ","hier                          ","drinking                      "
6,1,"Self-motivation -> independent work -> pass exams                                                                                                                                                                                                                                                           ","35.991","yes                           ","node-linked                   ","small                         ","parallel                      ","student                       "
13,1,"Poor performance                                                                                                                                                                                                                                                                                            ","15.631","yes                           ","node-linked                   ","medium                        ","hier                          ","student                       "
35,1,"Low salary                                                                                                                                                                                                                                                                                                  ","14.983","yes                           ","matrix                        ","large                         ","inDD                          ","drinking                      "
21,1,"Gambling                                                                                                                                                                                                                                                                                                    ","13.336","yes                           ","matrix                        ","medium                        ","outDD                         ","drinking                      "
20,1,"Meditation -> relaxed self -> pass exams                                                                                                                                                                                                                                                                    ","64.223","yes                           ","matrix                        ","medium                        ","alpha                         ","student                       "
27,2,"Pass exams                                                                                                                                                                                                                                                                                                  ","12.311","yes                           ","node-linked                   ","large                         ","organic                       ","student                       "
7,2,"Behavioural issues                                                                                                                                                                                                                                                                                          ","9.158","yes                           ","matrix                        ","small                         ","alpha                         ","drinking                      "
30,2,"Low self-representation -> low salary -> lack of self-esteem                                                                                                                                                                                                                                                ","75.463","no                            ","node-linked                   ","large                         ","parallel                      ","drinking                      "
8,2,"Drinking friends -> behavioural issues -> low grades                                                                                                                                                                                                                                                        ","12.047","yes                           ","matrix                        ","small                         ","alpha                         ","drinking                      "
10,2,"Doing sports -> more friends -> job satisfaction                                                                                                                                                                                                                                                            ","29.032","no                            ","matrix                        ","small                         ","outDD                         ","gym                           "
20,2,"Meditation -> relaxed self -> pass exams                                                                                                                                                                                                                                                                    ","14.296","yes                           ","matrix                        ","medium                        ","alpha                         ","student                       "
25,2,"Obesity                                                                                                                                                                                                                                                                                                     ","14.663","yes                           ","node-linked                   ","large                         ","hier                          ","gym                           "
29,2,"Early age drinking                                                                                                                                                                                                                                                                                          ","41.567","yes                           ","node-linked                   ","large                         ","parallel                      ","drinking                      "
22,2,"Drinking parents->underaged drinking -> gambling                                                                                                                                                                                                                                                            ","19.976","yes                           ","matrix                        ","medium                        ","outDD                         ","drinking                      "
21,2,"Gambling                                                                                                                                                                                                                                                                                                    ","9.766","yes                           ","matrix                        ","medium                        ","outDD                         ","drinking                      "
1,2,"Depression                                                                                                                                                                                                                                                                                                  ","8.784","yes                           ","node-linked                   ","small                         ","hier                          ","drinking                      "
18,2,"Join sports societies -> more friends -> better social life                                                                                                                                                                                                                                                 ","19.863","yes                           ","node-linked                   ","medium                        ","parallel                      ","gym                           "
14,2,"Self-motivation -> independent work -> pass exams                                                                                                                                                                                                                                                           ","12.488","yes                           ","node-linked                   ","medium                        ","hier                          ","student                       "
35,2,"Low salary                                                                                                                                                                                                                                                                                                  ","12.343","yes                           ","matrix                        ","large                         ","inDD                          ","drinking                      "
13,2,"Poor performance                                                                                                                                                                                                                                                                                            ","7.064","yes                           ","node-linked                   ","medium                        ","hier                          ","student                       "
15,2,"Low salary                                                                                                                                                                                                                                                                                                  ","15.888","yes                           ","node-linked                   ","medium                        ","organic                       ","drinking                      "
28,2,"Missed deadlines -> Poor performance -> Fail exams                                                                                                                                                                                                                                                          ","36.125","yes                           ","node-linked                   ","large                         ","organic                       ","student                       "
31,2,"Pleasant gym time                                                                                                                                                                                                                                                                                           ","18.457","yes                           ","matrix                        ","large                         ","alpha                         ","gym                           "
36,2,"Emotional problems -> binge eating -> health issues                                                                                                                                                                                                                                                         ","37.471","yes                           ","matrix                        ","large                         ","inDD                          ","drinking                      "
12,2,"Good argumentation -> critical thinking -> successful debates                                                                                                                                                                                                                                               ","16.776","yes                           ","matrix                        ","small                         ","inDD                          ","student                       "
26,2,"Feeling happy -> being fit -> emotional stability                                                                                                                                                                                                                                                           ","32.357","yes                           ","node-linked                   ","large                         ","hier                          ","gym                           "
3,2,"More friends                                                                                                                                                                                                                                                                                                ","11.696","yes                           ","node-linked                   ","small                         ","organic                       ","gym                           "
33,2,"Gym buddy                                                                                                                                                                                                                                                                                                   ","8.936","yes                           ","matrix                        ","large                         ","outDD                         ","student                       "
17,2,"Sports avoidance                                                                                                                                                                                                                                                                                            ","31.993","yes                           ","node-linked                   ","medium                        ","parallel                      ","gym                           "
