indd_path_large,outdd_path_large,alpha_path_large
47.614,45.104,46.35
37.471,43.687,42.879
26.664,45.834,44.895
79.047,78.134,124.959
22.231,34.781,25.022
42.484,81.804,28.374
23.675,78.426,14.182
27.639,36.552,35.015
30.615,93.271,78.191
106.253,38.424,59.446
75.256,48.872,30.351
36.207,38.335,44.464
42.559,23.712,42.623
20.127,44.559,33.791
35.847,54.999,32.487
26.027,35.791,43.943
36.076,24.895,26.711
48.607,43.3,57.242
49.511,53.95,48.396
56.586,43.086,42.207
51.301,34.392,34.208
30.498,37.933,46.523
35.77,62.839,61.02
95.607,52.016,52.263
32.882,45.941,79.822
44.119,38.334,33.151
43.845,49.568,46.303
41.772,64.552,50.247
42.828,44.502,44.575
74.543,50.48,82.527
